method,seed,sat,rho,rho_over,rho_track,reason,rmse,changed
PPO,42,0,-0.055807492,-0.055807492,0.037613287,Overspeed,0.046365947,0
PPO,43,0,-0.033050677,-0.033050677,0.03622117,Overspeed,0.039149522,0
PPO,44,0,-0.02129087,-0.02129087,0.036977294,Overspeed,0.040986854,0
PPO,45,1,0.020224097,0.030224097,0.049775903,Satisfied,0.000224097,0
PPO,46,1,0.00441146,0.02441146,0.04441146,Satisfied,0.00558854,0
PPO,47,1,0.009431965,0.033431965,0.046568035,Satisfied,0.003431965,0
PPO,48,1,0.011752302,0.023752302,0.043752302,Satisfied,0.006247698,0
PPO,49,0,-0.016441406,-0.016441406,0.038105758,Overspeed,0.034291364,0
PPO,50,0,-0.058327983,-0.058327983,0.038072953,Overspeed,0.04878518,0
PPO,51,0,-0.087338337,-0.087338337,0.0399624,Overspeed,0.057052119,0
PPO+CONF,42,1,0.023319137,0.023319137,0.043319137,Satisfied,0.006680863,0
PPO+CONF,43,1,0.020795664,0.020795664,0.040795664,Satisfied,0.009204336,0
PPO+CONF,44,1,0.020100076,0.020100076,0.040100076,Satisfied,0.009899924,0
PPO+CONF,45,1,0.02970567,0.02970567,0.04970567,Satisfied,0.00029433,0
PPO+CONF,46,1,0.017619298,0.017619298,0.037619298,Satisfied,0.012380702,0
PPO+CONF,47,1,0.022103452,0.022103452,0.042103452,Satisfied,0.007896548,0
PPO+CONF,48,0,-0.00624878,-0.01624878,0.039898465,Overspeed,0.033640599,0
PPO+CONF,49,0,-0.011441406,-0.016441406,0.038105758,Overspeed,0.034291364,0
PPO+CONF,50,1,0.028243876,0.028243876,0.048243876,Satisfied,0.001756124,0
PPO+CONF,51,1,0.017171,0.017171,0.037171,Satisfied,0.012829,0
PPO+GENAI,42,1,0.030238786,0.030238786,0.049761214,Satisfied,0.000238786,1
PPO+GENAI,43,1,0.034602434,0.034602434,0.045397566,Satisfied,0.004602434,1
PPO+GENAI,44,1,0.024176613,0.024176613,0.044176613,Satisfied,0.005823387,1
PPO+GENAI,45,1,0.030224097,0.030224097,0.049775903,Satisfied,0.000224097,0
PPO+GENAI,46,1,0.02441146,0.02441146,0.04441146,Satisfied,0.00558854,1
PPO+GENAI,47,1,0.033431965,0.033431965,0.046568035,Satisfied,0.003431965,1
PPO+GENAI,48,1,0.023752302,0.023752302,0.043752302,Satisfied,0.006247698,1
PPO+GENAI,49,1,0.029815332,0.029815332,0.049815332,Satisfied,0.000184668,1
PPO+GENAI,50,1,0.024982208,0.024982208,0.044982208,Satisfied,0.005017792,0
PPO+GENAI,51,1,0.032750076,0.032750076,0.047249924,Satisfied,0.002750076,1
