config,t,Vt,sp,ppo_action,selected_action,ppo_pred_rho,selected_pred_rho,predicted_gain
dir_c3_k1,18.099999999999987,496.95919018832353,500.0,0.1133594810962677,0.1133594810962677,0.03389453043115407,0.03389453043115407,0.0
dir_c3_k1,18.19999999999999,496.95912655651466,500.0,0.11335901916027069,0.11335901916027069,0.033894418001574424,0.033894418001574424,0.0
dir_c3_k1,18.29999999999999,496.95906968296447,500.0,0.11335895955562592,0.11335895955562592,0.03389431743558316,0.03389431743558316,0.0
dir_c3_k1,18.39999999999999,496.95901886038104,500.0,0.11335781961679459,0.11335781961679459,0.03389422770004887,0.03389422770004887,0.0
dir_c3_k1,18.499999999999993,496.95897336286555,500.0,0.1133580431342125,0.1133580431342125,0.03389414688780471,0.03389414688780471,0.0
dir_c3_k1,18.599999999999994,496.95893257355505,500.0,0.11335760354995728,0.11335760354995728,0.03389407464248927,0.03389407464248927,0.0
dir_c3_k1,18.699999999999996,496.95889601595707,500.0,0.11335831135511398,0.11335831135511398,0.03389400973303873,0.03389400973303873,0.0
dir_c3_k1,18.799999999999997,496.9588633219741,500.0,0.113358274102211,0.113358274102211,0.03389395213268756,0.03389395213268756,0.0
dir_c5_k3,18.099999999999987,498.13258086536064,500.0,0.05412699654698372,0.11412699654698372,0.03583159946881085,0.03583278578024022,1.1863114293686472e-06
dir_c5_k3,18.19999999999999,498.13258226698076,500.0,0.05412696301937103,0.11412696301937103,0.03583160206080334,0.03583278837223281,1.1863114294727306e-06
dir_c5_k3,18.29999999999999,498.1325836231152,500.0,0.05412716418504715,0.11412716418504715,0.035831604552313365,0.03583279086374273,1.1863114293686472e-06
dir_c5_k3,18.39999999999999,498.13258495939783,500.0,0.05412716418504715,0.11412716418504715,0.03583160723948368,0.03583279355091293,1.186311429250686e-06
dir_c5_k3,18.499999999999993,498.13258630173874,500.0,0.0541270449757576,0.1141270449757576,0.03583160993258923,0.0358327962440186,1.1863114293686472e-06
dir_c5_k3,18.599999999999994,498.13258763449807,500.0,0.05412716418504715,0.11412716418504715,0.03583161247772,0.03583279878914925,1.186311429250686e-06
dir_c5_k3,18.699999999999996,498.13258895888276,500.0,0.05412716418504715,0.11412716418504715,0.03583161514360131,0.03583280145503068,1.1863114293686472e-06
dir_c5_k3,18.799999999999997,498.1325902898335,500.0,0.05412716418504715,0.11412716418504715,0.0358316178185637,0.03583280412999295,1.186311429250686e-06
dir_c7_k3,18.099999999999987,498.5236897430756,500.0,0.034383874386548996,0.114383874386549,0.036609344901229295,0.0366109266498014,1.5817485721075775e-06
dir_c7_k3,18.19999999999999,498.523715757607,500.0,0.03438317030668259,0.11438317030668259,0.03660938548928584,0.03661096723785841,1.5817485725655445e-06
dir_c7_k3,18.29999999999999,498.52373930639044,500.0,0.0343829020857811,0.1143829020857811,0.03660942146781622,0.03661100321638867,1.5817485724475833e-06
dir_c7_k3,18.39999999999999,498.5237605054855,500.0,0.034382715821266174,0.11438271582126618,0.03660945351492126,0.036611035263493935,1.5817485726765668e-06
dir_c7_k3,18.499999999999993,498.5237795232114,500.0,0.0343838669359684,0.1143838669359684,0.036609482009755764,0.03661106375832799,1.5817485722255387e-06
dir_c7_k3,18.599999999999994,498.5237966887821,500.0,0.03438282757997513,0.11438282757997513,0.0366095089304971,0.03661109067906944,1.581748572336561e-06
dir_c7_k3,18.699999999999996,498.5238121876469,500.0,0.034383781254291534,0.11438378125429154,0.03660953212059337,0.036611113869165705,1.581748572336561e-06
dir_c7_k3,18.799999999999997,498.523826171667,500.0,0.034383080899715424,0.11438308089971543,0.03660955403654282,0.03661113578511504,1.5817485722185998e-06
sym_c5_k3,18.099999999999987,499.7926840584504,500.0,0.030860599130392075,0.09086059913039207,0.03858345129796294,0.038584637609392305,1.1863114293686472e-06
sym_c5_k3,18.19999999999999,499.6723803097405,500.0,0.03400039300322533,0.09400039300322532,0.038370820594415364,0.038372006905844726,1.1863114293617083e-06
sym_c5_k3,18.29999999999999,499.5581586320909,500.0,0.036730147898197174,0.09673014789819717,0.038171220528919095,0.038172406840348574,1.1863114294796695e-06
sym_c5_k3,18.39999999999999,499.45016699154957,500.0,0.03910114988684654,0.09910114988684654,0.03798440321482076,0.03798558952625013,1.1863114293686472e-06
sym_c5_k3,18.499999999999993,499.348443951711,500.0,0.04116228595376015,0.10116228595376014,0.03781001156544903,0.03781119787687851,1.1863114294796695e-06
sym_c5_k3,18.599999999999994,499.2529415325682,500.0,0.04294915869832039,0.10294915869832039,0.03764761153567247,0.03764879784710195,1.1863114294796695e-06
sym_c5_k3,18.699999999999996,499.16354392448534,500.0,0.04450079798698425,0.10450079798698425,0.03749670597479667,0.037497892286225805,1.1863114291327248e-06
sym_c5_k3,18.799999999999997,499.0800832253098,500.0,0.04584453999996185,0.10584453999996185,0.03735676248970219,0.03735794880113144,1.186311429250686e-06
