scenario,method,tol,window_s,sat,rho
S0 Nominal (5%/10s),PPO,0.05,10.0,1.0,0.04391719582151409
S0 Nominal (5%/10s),PPO+STL,0.05,10.0,1.0,0.04391719582935487
S0 Nominal (5%/10s),PPO+CONF,0.05,10.0,1.0,0.043917195813458335
S1 Mild (4%/8s),PPO,0.04,8.0,1.0,0.03084555584333389
S1 Mild (4%/8s),PPO+STL,0.04,8.0,1.0,0.02927655768804589
S1 Mild (4%/8s),PPO+CONF,0.04,8.0,1.0,0.03264290991370776
S2 Moderate (3%/6s),PPO,0.03,6.0,1.0,0.019267357939203155
S2 Moderate (3%/6s),PPO+STL,0.03,6.0,0.8,-0.03567981599528541
S2 Moderate (3%/6s),PPO+CONF,0.03,6.0,1.0,0.023137025187042422
S3 Strong (2%/5s),PPO,0.02,5.0,1.0,0.006794750817883164
S3 Strong (2%/5s),PPO+STL,0.02,5.0,1.0,0.004448046215447789
S3 Strong (2%/5s),PPO+CONF,0.02,5.0,1.0,0.0033728322549725007
