scenario,tol,window_s,method,sat,rho
Nominal (500),0.05,10.0,PPO,1.0,0.04391719579543269
Nominal (500),0.05,10.0,PPO+STL,1.0,0.04391719579487097
Nominal (500),0.05,10.0,PPO+CONF,0.0,-0.04051792531043247
Setpoint 450 (nominal),0.05,10.0,PPO,1.0,0.046777623398034825
Setpoint 450 (nominal),0.05,10.0,PPO+STL,1.0,0.04677762342891798
Setpoint 450 (nominal),0.05,10.0,PPO+CONF,1.0,0.04677762345431284
Setpoint 550 (nominal),0.05,10.0,PPO,1.0,0.04100801232280446
Setpoint 550 (nominal),0.05,10.0,PPO+STL,1.0,0.041008012334901776
Setpoint 550 (nominal),0.05,10.0,PPO+CONF,1.0,0.04100801230200494
Rate limit (slew=0.02),0.05,10.0,PPO,1.0,0.04391719585084263
Rate limit (slew=0.02),0.05,10.0,PPO+STL,1.0,0.04391719585084263
Rate limit (slew=0.02),0.05,10.0,PPO+CONF,1.0,0.04391719585084263
Rate + noise (std=6),0.05,10.0,PPO,1.0,0.04089148234747179
Rate + noise (std=6),0.05,10.0,PPO+STL,1.0,0.04218117684677299
Rate + noise (std=6),0.05,10.0,PPO+CONF,0.0,-0.04148205934546058
Rate + noise + delay (2),0.05,10.0,PPO,1.0,0.03949568877935426
Rate + noise + delay (2),0.05,10.0,PPO+STL,1.0,0.04237290112491271
Rate + noise + delay (2),0.05,10.0,PPO+CONF,0.0,-0.04091071689159412
Rate + noise + delay + cap (0.85),0.05,10.0,PPO,1.0,0.03980641793749223
Rate + noise + delay + cap (0.85),0.05,10.0,PPO+STL,1.0,0.04007598073427342
Rate + noise + delay + cap (0.85),0.05,10.0,PPO+CONF,1.0,0.03905218495811937
… + Morelli model,0.05,10.0,PPO,1.0,0.0395418648194931
… + Morelli model,0.05,10.0,PPO+STL,1.0,0.04258350787048672
… + Morelli model,0.05,10.0,PPO+CONF,1.0,0.04074774747529298
… + jump to 590 @20s,0.05,10.0,PPO,1.0,0.03413260396168811
… + jump to 590 @20s,0.05,10.0,PPO+STL,1.0,0.0351179472643909
… + jump to 590 @20s,0.05,10.0,PPO+CONF,1.0,0.03408476301949076
Full stress (cap+slew+noise+delay+Morelli+jump),0.02,5.0,PPO,0.2,-0.002956740473493205
Full stress (cap+slew+noise+delay+Morelli+jump),0.02,5.0,PPO+STL,0.8,-0.017388230613693687
Full stress (cap+slew+noise+delay+Morelli+jump),0.02,5.0,PPO+CONF,1.0,0.0035957388106873114
